idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Un gato atigrado duerme en una cama para mascotas de tela con estampado geométrico, sobre una superficie con diseño floral en tonos rosados y azules.	Chan míis ku weenel yóok'ol u cha'anil u weenel.	Juntúul miis ku weenel	10864,10862,10830,10825,10833,10847,10859,10870,10863,10846,10824,10861,10840,5591,2634,10828,10405,10844,4666,10857,10865,878,10848,10831,10842,1916,10836,10871,10868,9667,10835,10837,10869,10856,5417,10860,10854,10866,10855,10853,10845,10823,10843,2299,10852,10829,1753,10286,74,2397,9949,10858,10839,10834,4886,10838,488,1306,10850,8773,6702,347,5065,6320,976,3596,9710,324,9224,6358,10329,10018,10770,3904,394,8873,2642,7690,3068,5711	11,40,2,22,24,25,34,37,39,6,7,13,14,15,18,20,21,23,26,30,31,36,41,42,43,47,48,49,1,3,4,8,9,16,17,19,28,32,33,35,38,44,46,5,10,12,27,29,45	12900	21	12921	
1	"La imagen muestra un libro titulado ""Diccionario de uso del Maya Yucateco"" con una portada que incluye una fotografía de un árbol y un cartel con texto manuscrito. A su lado, hay una carta de la Universidad Iberoamericana de Yucatán (UIIYOROO) dirigida a Eduardo José Ake Pool, estudiante de la licenciatura intercultural maya."	"Le lela' junp'éel ju'un u k'aaba' ""Diccionario de uso del Maya Yucateco"" beyxan yaan u yoochel junkúul che' yéetel junp'éel ts'íib. Tu tséelile' yaan junp'éel carta ti' le Universidad Iberoamericana de Yucatán (UIIYOROO) uti'al Eduardo José Ake Pool, máax táan u xook ti' le licenciatura intercultural maya."	Junp'éel áanalte' ich maaya t'aan.	10840,10868,10842,10843,10854,10871,10870,10845,10866,10862,10829,10846,10865,10859,10861,10848,10863,10864,10824,9667,10844,10833,10828,10853,10835,10857,3027,10831,10856,5711,10847,3068,6995,5417,10405,10860,1916,10852,10858,10837,10838,7482,1753,10286,10836,4500,8914,8864,8204,10822,10869,347,10834,4666,2130,10855,3276,114,10830,9195,2299,703,8421,10841,10343,8773,10825,5561,8087,3904,127,4762,9060,8706,2840,10677,10018,6320,5545,2634	13,34,6,7,18,20,48,21,23,27,43,49,2,9,10,14,22,24,32,37,39,44,0,11,12,15,19,25,26,30,31,36,38,40,41,42,46,47,5,16,17,28,29,33,35,45,3,4,8	13275	109	13384	
2	Tres personas interactúan alrededor de una laptop en un espacio con mesas y proyector; una mujer con un lazo en el cabello y un hombre con camisa blanca están inclinados sobre la pantalla, mientras otra persona de camisa roja se encuentra de pie detrás de ellos.	Óoxtúul máako'ob táan u xooko'ob yéetel laptop, tu paachile' yaan jump'éel proyector.	Oxtúul máak tu táan junp'éel computadora.	10828,10863,10848,10843,10862,10859,10839,10833,10854,10858,10846,10861,10856,10855,10857,10869,10852,10844,5417,10840,1916,9667,10866,10405,10871,10853,10870,6995,10865,10847,10845,10864,8495,10822,10834,10842,10343,10836,3068,10837,10829,10823,10868,4666,6320,8864,5545,3761,488,4994,3904,1753,10286,10831,10835,8502,9389,2840,4500,8914,8087,127,4762,1569,10838,5106,10832,8271,10860,10826,2299,2130,8063,10599,7368,9047,2634,5711,703,8421	6,36,34,37,40,41,11,21,22,24,13,17,25,26,30,33,49,0,7,15,20,23,32,39,43,47,48,1,4,10,12,14,16,18,19,28,31,35,44,5,9,27,29,38,42,46,3,8,45	13142	37	13179	
3	Una taza negra de cerámica con líquido oscuro está sobre una superficie de madera oscura.	Junp'éel éek' lúuch yaan u ja'il yook'ol che'.	Junp'éel boox nu'ukul uti'al u uk'ul café.	10830,10864,10860,10845,10863,10862,10822,10840,10856,10835,10828,10847,10846,10842,10844,10869,10834,4886,10827,10859,4666,10865,10677,10848,10839,9653,10829,10833,10824,10405,4922,10855,6736,10314,10843,10868,2634,10861,1306,5417,10770,10857,10823,9949,9667,10871,3077,10831,7068,6065,3997,10155,1291,42,3068,8284,10858,10870,5711,3225,6239,5753,10854,6320,10838,1569,2998,3465,4711,6702,3992,4078,4989,1599,394,288,4144,7482,2266,10852	8,34,40,0,6,13,18,22,23,24,25,38,41,42,2,5,7,11,12,17,20,21,26,37,39,43,47,1,4,9,14,15,16,27,30,31,32,33,35,36,44,46,48,49,10,19,28,29,45	12127	23	12150	
4	Varias cajas de madera, posiblemente colmenas, están dispuestas sobre soportes en un terreno de tierra con vegetación seca al fondo. De algunas cajas sale humo blanco.	Ya'ab k'o'om k'áax ku jóok'ol buuts' tu yóok'ol lu'um.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.	10852,10853,10865,10843,10861,10858,10848,10851,10834,10833,10859,10866,10847,10660,4407,10836,10856,10824,10841,10829,1172,10871,10837,10867,5698,9074,10862,10860,6841,9971,3641,4410,5557,8063,1510,8298,10794,528,7133,8796,8810,2872,10864,10846,470,6398,8597,9697,4676,10863,5463,6995,2546,3647,8305,10018,690,5526,8075,10844,49,9239,3852,2023,10840,114,5167,10070,8667,717,881,10405,1957,9398,5868,10869,7368,2723,5005,8959	36,43,2,11,14,19,21,24,25,29,30,31,34,37,39,49,0,7,15,22,26,40,44,45,47,48,6,12,13,16,17,18,20,23,28,35,38,41,42,46,1,3,5,8,9,10,27,32,33	13346	30	13376	
5	Una botella de plástico transparente con tapón azul está apoyada en el suelo junto a una persiana metálica oxidada.	Junp'éel plástico botella yaan u bonil azul tu tsel junp'éel persiana.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.	10865,10834,10860,10839,10842,10840,10846,10862,10863,10829,10835,10847,10830,10852,10825,10854,10858,10871,10843,10869,8995,10844,10866,10828,10850,10861,10848,4138,3066,10845,10859,4922,10855,10864,4666,10857,10868,5828,2556,6668,10831,7068,2626,10822,10867,10823,10870,1599,10856,10824,9653,10833,9667,6649,1658,4733,83,5753,2634,3068,5711,3992,4078,4989,10832,10838,3997,10155,2134,1916,618,10837,1446,8638,3981,1655,1660,42,1569,5084	43,12,13,6,7,17,20,21,25,40,49,18,22,24,30,34,36,37,38,39,2,11,15,23,26,32,33,41,47,0,1,3,8,9,10,14,16,28,31,35,42,44,45,46,48,4,19,27,29	11729	24	11753	
6	Una persona con ropa oscura está de pie en una sala con mesas y sillas, frente a un soporte que sostiene una luz rectangular brillante. En primer plano hay una mochila negra y el ambiente es un espacio interior con iluminación artificial y ventanas.	Juntúul máak wa'akbal tu táan junp'éel sáasil.	Le lela' junp'éel sasili' ichil najilxook.	10824,10831,10863,10865,10846,10862,10848,10870,10869,10844,10830,10825,10833,10840,10857,10859,1916,10843,10835,10860,10864,10852,10836,10871,10850,10822,10861,10823,9667,10842,7932,10839,10834,10837,10847,10866,10855,10853,10854,1753,10286,2634,10845,5711,10868,10829,5065,9224,2517,3596,4666,618,347,9710,10405,4922,976,3946,10856,10827,6649,1569,10858,10849,2299,8606,4836,8638,4994,5417,2134,10677,394,3391,9602,8773,6320,3904,9195,7619	2,13,43,21,22,24,34,40,1,9,11,25,26,30,37,41,48,49,5,7,12,14,15,17,18,20,23,36,39,47,0,19,27,28,31,32,33,35,38,42,3,8,10,16,29,44,45,46,4	12559	21	12580	
7	Un árbol con flores rosadas crece junto a un muro de concreto en un terreno con hierba seca, bajo un cielo azul claro. A la izquierda, una palmera y un poste de madera completan la escena.	Junkúul sakchak lool yaan tu tséel junp'éel pak' tunich, tu paachile' yaan tikin su'uk, yóok'ole' sáasil ka'anal, tu tséelile' yaan junkúul xa'an yéetel junp'éel che'.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.	10866,10871,10842,10865,10843,10854,10847,10868,10832,10835,10867,10863,10844,10856,10853,10840,10861,10862,10834,10841,10833,10823,10864,10831,10852,10846,10850,10824,10848,10837,10859,10858,10857,10836,1916,1625,10851,10869,10870,10845,10826,1753,10286,10828,10343,1995,9710,6544,8143,1075,10827,9224,127,4762,8063,2659,8539,165,7368,10405,5106,7431,9667,5079,10822,7747,4621,1957,717,881,5561,4090,10362,10543,10838,3068,9060,5417,1612,3812	49,13,20,44,43,21,25,34,10,1,12,18,22,31,32,36,39,46,2,5,6,9,11,15,19,23,24,30,37,40,41,45,0,14,26,27,28,38,42,47,48,4,16,17,29,33,35,3,8	12155	73	12228	
8	Una araña negra está sobre una superficie blanca, cerca de una pared con textura de mármol claro.	Junp'éel boox am yaan yóok'ol junp'éel sak pak'.	Le amo' ti yáan lu'ume.	10825,10864,10835,10860,10846,10859,10834,10822,10840,10828,10870,10871,2134,10862,10845,10863,10843,10827,4666,10866,6002,10869,9653,10865,10839,10849,10848,10829,10855,10856,3020,2634,10833,10868,4922,10824,10775,10405,10857,10314,1306,10831,4886,10770,10823,10861,10842,9667,5417,10847,6065,5711,5753,9949,3997,10155,1569,10858,7068,42,3068,3077,10844,3465,4711,2998,2943,5925,7317,1291,10838,8284,6590,288,4144,7482,10854,3249,2151,3992	3,42,13,24,0,6,12,18,21,34,37,38,40,2,5,7,11,17,22,23,25,26,27,39,41,43,44,47,48,49,1,4,9,14,15,16,20,30,31,32,33,35,36,46,10,19,28,45,29	11578	23	11601	
9	Una mano sostiene una flor rosa con pétalos delicados frente a un fondo de palmeras y cielo azul.	Junp'éel k'ab ku machik junp'éel sakchak lool tu táanil xa'ano'ob yéetel junp'éel azul ka'anal.	Le lela' jump'eel sakchak' lol.	10868,10828,10871,10853,10863,10859,10870,10864,10835,10834,10838,10840,10846,10862,10855,10865,10854,10866,10837,10856,10829,10847,10858,2134,3904,1916,1306,10842,7443,10861,618,9667,10824,10833,10823,2967,381,10857,10822,10836,9472,8474,10848,2446,10860,8284,10869,7870,10843,10832,2634,5711,1753,10286,2254,10405,10852,10845,9372,4666,10844,10830,9224,7081,4407,5417,10388,5065,3596,9195,4551,8087,2299,10825,8638,976,394,4058,9710,9479	6,49,7,13,18,31,34,37,43,1,10,12,15,20,21,24,25,32,36,39,40,41,42,44,46,48,0,2,11,14,16,22,23,26,30,33,47,5,17,19,27,28,35,38,45,3,4,8,29	12647	41	12688	
