id	prediction	reference	chrfpp_sentence
0	Chan míis ku weenel yóok'ol u cha'anil u weenel.	Juntúul miis ku weenel	37.9447
1	"Le lela' junp'éel ju'un u k'aaba' ""Diccionario de uso del Maya Yucateco"" beyxan yaan u yoochel junkúul che' yéetel junp'éel ts'íib. Tu tséelile' yaan junp'éel carta ti' le Universidad Iberoamericana de Yucatán (UIIYOROO) uti'al Eduardo José Ake Pool, máax táan u xook ti' le licenciatura intercultural maya."	Junp'éel áanalte' ich maaya t'aan.	13.4248
2	Óoxtúul máako'ob táan u xooko'ob yéetel laptop, tu paachile' yaan jump'éel proyector.	Oxtúul máak tu táan junp'éel computadora.	30.4551
3	Junp'éel éek' lúuch yaan u ja'il yook'ol che'.	Junp'éel boox nu'ukul uti'al u uk'ul café.	24.3084
4	Ya'ab k'o'om k'áax ku jóok'ol buuts' tu yóok'ol lu'um.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.	16.6919
5	Junp'éel plástico botella yaan u bonil azul tu tsel junp'éel persiana.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.	17.2321
6	Juntúul máak wa'akbal tu táan junp'éel sáasil.	Le lela' junp'éel sasili' ichil najilxook.	23.0200
7	Junkúul sakchak lool yaan tu tséel junp'éel pak' tunich, tu paachile' yaan tikin su'uk, yóok'ole' sáasil ka'anal, tu tséelile' yaan junkúul xa'an yéetel junp'éel che'.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.	23.3878
8	Junp'éel boox am yaan yóok'ol junp'éel sak pak'.	Le amo' ti yáan lu'ume.	10.3703
9	Junp'éel k'ab ku machik junp'éel sakchak lool tu táanil xa'ano'ob yéetel junp'éel azul ka'anal.	Le lela' jump'eel sakchak' lol.	26.0770
10	Junkúul xa'an jach ka'anal u che'il beyxan ya'ab u le' ya'ax.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.	16.0840
