idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Un gato atigrado duerme en una cama para mascotas de tela con estampado geométrico, sobre una superficie con diseño floral en tonos rosados y azules.	Chan míis ku weenel yóok'ol u ch'iich'il u we'enel.	Juntúul miis ku weenel		11,40,2,22,24,25,34,37,39,6,7,13,14,15,18,20,21,23,26,30,31,36,41,42,43,47,48,49,1,3,4,8,9,16,17,19,28,32,33,35,38,44,46,5,10,12,27,29,45	3882	25	3907	
1	"La imagen muestra un libro titulado ""Diccionario de uso del Maya Yucateco"" con una portada que incluye una fotografía de un árbol y un cartel con texto manuscrito. A su lado, hay una carta de la Universidad Iberoamericana de Yucatán (UIIYOROO) dirigida a Eduardo José Ake Pool, estudiante de la licenciatura intercultural maya."	Le lela' junp'éel ju'un tu'ux ku ts'íibta'al u k'aaba' junp'éel diccionario, beyxan yaan junp'éel carta tu'ux ku ts'íibta'al u k'aaba' juntúul xook.	Junp'éel áanalte' ich maaya t'aan.		13,34,6,7,18,20,48,21,23,27,43,49,2,9,10,14,22,24,32,37,39,44,0,11,12,15,19,25,26,30,31,36,38,40,41,42,46,47,5,16,17,28,29,33,35,45,3,4,8	3876	69	3945	
2	Tres personas interactúan alrededor de una laptop en un espacio con mesas y proyector; una mujer con un lazo en el cabello y un hombre con camisa blanca están inclinados sobre la pantalla, mientras otra persona de camisa roja se encuentra de pie detrás de ellos.	Óoxp'éel máako'ob táan u xooko'ob yéetel jump'éel computadora.	Oxtúul máak tu táan junp'éel computadora.		6,36,34,37,40,41,11,21,22,24,13,17,25,26,30,33,49,0,7,15,20,23,32,39,43,47,48,1,4,10,12,14,16,18,19,28,31,35,44,5,9,27,29,38,42,46,3,8,45	3876	27	3903	
3	Una taza negra de cerámica con líquido oscuro está sobre una superficie de madera oscura.	Junp'éel éek' taza yaan yook'ol che'.	Junp'éel boox nu'ukul uti'al u uk'ul café.		8,34,40,0,6,13,18,22,23,24,25,38,41,42,2,5,7,11,12,17,20,21,26,37,39,43,47,1,4,9,14,15,16,27,30,31,32,33,35,36,44,46,48,49,10,19,28,29,45	3872	17	3889	
4	Varias cajas de madera, posiblemente colmenas, están dispuestas sobre soportes en un terreno de tierra con vegetación seca al fondo. De algunas cajas sale humo blanco.	Ya'ab k'ab che'ob tu'ux ku kajal yik'el kaab.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.		36,43,2,11,14,19,21,24,25,29,30,31,34,37,39,49,0,7,15,22,26,40,44,45,47,48,6,12,13,16,17,18,20,23,28,35,38,41,42,46,1,3,5,8,9,10,27,32,33	3863	22	3885	
5	Una botella de plástico transparente con tapón azul está apoyada en el suelo junto a una persiana metálica oxidada.	Junp'éel botella de plástico yaan u táap'il azul, tu tséelile' junp'éel persiana.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.		43,12,13,6,7,17,20,21,25,40,49,18,22,24,30,34,36,37,38,39,2,11,15,23,26,32,33,41,47,0,1,3,8,9,10,14,16,28,31,35,42,44,45,46,48,4,19,27,29	3871	31	3902	
6	Una persona con ropa oscura está de pie en una sala con mesas y sillas, frente a un soporte que sostiene una luz rectangular brillante. En primer plano hay una mochila negra y el ambiente es un espacio interior con iluminación artificial y ventanas.	Juntúul máak wa'akbal tu táan junp'éel sáasil.	Le lela' junp'éel sasili' ichil najilxook.		2,13,43,21,22,24,34,40,1,9,11,25,26,30,37,41,48,49,5,7,12,14,15,17,18,20,23,36,39,47,0,19,27,28,31,32,33,35,38,42,3,8,10,16,29,44,45,46,4	3873	21	3894	
7	Un árbol con flores rosadas crece junto a un muro de concreto en un terreno con hierba seca, bajo un cielo azul claro. A la izquierda, una palmera y un poste de madera completan la escena.	Junkúul sakchak lool yaan tu tséel junp'éel koot, tu paachile' yaan junp'éel xa'an.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.		49,13,20,44,43,21,25,34,10,1,12,18,22,31,32,36,39,46,2,5,6,9,11,15,19,23,24,30,37,40,41,45,0,14,26,27,28,38,42,47,48,4,16,17,29,33,35,3,8	3856	38	3894	
8	Una araña negra está sobre una superficie blanca, cerca de una pared con textura de mármol claro.	Juntúul boox k'áanan táan u máan yóok'ol junp'éel sak pak'.	Le amo' ti yáan lu'ume.		3,42,13,24,0,6,12,18,21,34,37,38,40,2,5,7,11,17,22,23,25,26,27,39,41,43,44,47,48,49,1,4,9,14,15,16,20,30,31,32,33,35,36,46,10,19,28,45,29	3881	28	3909	
9	Una mano sostiene una flor rosa con pétalos delicados frente a un fondo de palmeras y cielo azul.	Máak ku machik junp'éel lool sakchak, paachile' ya'akach xa'ano'ob yéetel ka'anal.	Le lela' jump'eel sakchak' lol.		6,49,7,13,18,31,34,37,43,1,10,12,15,20,21,24,25,32,36,39,40,41,42,44,46,48,0,2,11,14,16,22,23,26,30,33,47,5,17,19,27,28,35,38,45,3,4,8,29	3880	35	3915	
