id	prediction	reference	chrfpp_sentence
0	Se siuatsintli ika xonbelo xochijyo kitlajtlachialia tepeyo.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	31.0122
1	Se tlakatsin ika xonbelo uan youik tlakemitl motlalijtok ipan se tetl.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	27.6261
2	Se tlakatl ika iztak tlakemitl tlajtoaj ipan se kuauhpulpito.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	23.8807
3	Ome tlakamej motlalilijkej ika se foto. Se tlakentok ika kamisa ika xochitlakemitl uan okse ika tliliuik xochitlakemitl.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	36.6974
4	Seki tlakamej motlakentijtokej ika inaltepetlaken motemouiaj ipan se tlauik karro.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	21.3021
5	Yexpa siuamej ika inxochitlakentli kipixtokej vasos de plástico.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	21.4457
6	Se ohuatlajtooktli ika kuauhtlatlamitl uan tlamixtentok.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	29.5435
7	Se tlakatsin kikuijtok se kuetzpalin.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	17.2890
8	Se pitsauaxochitl ika istak xochitl.	Seki Yolitisxochitl uan se ajyoxiuitl.	23.7057
9	Se kuauxiuitl ika yankuik xiuitl uan kostik xochimej.	Seki uajxilxochitl tlen yikin kueponij.	20.7430
10	Se xochitl chichiliztaletik.	Se gladiolajxochitl non achtsin youakik.	21.6765
11	Se kostik senpoalxochitl inauak se tepankali.	Se kualtsin senpoalxochitl non melajka xochitl.	35.1886
12	Se ojtli ika xochitl uan tlamixtentok.	Se foto kanin nextok ojtli, tetlala inakastlan uan semi tlamixtentok ken yetoskia totoka tiuaij ipan se karro.	18.4337
