idx	spanish	prediction	reference	retrieved_indices	dev_example_indices	prompt_tokens	completion_tokens	total_tokens	thinking_tokens
0	Una persona con sombrero de paja adornado con flores mira un paisaje montañoso bajo un cielo azul claro. Lleva ropa oscura y su cabello oscuro cae por la espalda mientras observa el horizonte.	Se siuatsintli ika xonbelo xochijyo kitlajtlachialia tepeyo.	Se ichpochtli ika xonbelo tlachixtok ik tlani, kanin ixtlauak. Tlachipajtok.	16146,16168,16165,16178,16160,16148,16177,16174,16185,16151,16194,16161,16166,16167,16187,16189,16176,16147,16162,16183,16180,16150,1042,6623,16182,1799,16152,16181,16164,3814,15930,16163,16190,4953,3807,11322,15797,972,2142,12944	1,3,20,21,23,31,33,42,49,7,15,18,22,32,37,38,40,5,6,9	5438	27	5465	
1	Una persona con sombrero y ropa oscura está sentada sobre una roca en un entorno montañoso con vegetación. Sostiene un bastón y tiene una mochila a su lado.	Se tlakatsin ika xonbelo uan youik tlakemitl motlalijtok ipan se tetl.	Se telpochtli moseuijtok ipan se ueyi tetl. Motlakentok ika xonbelo, tliliuik kamisa uan pantalon. Itech ima se tlakotl. Ikuitlapan kajki tepeyo.	16145,16194,16165,16179,16178,16187,16152,16171,16169,16183,16162,16175,16159,16155,16167,16148,16161,16188,16189,16180,16153,13278,16186,16173,16191,16158,13359,15797,2142,15930,16181,1406,16160,16192,16166,9594,4270,12410,14801,4145	49,0,17,33,42,7,20,4,18,22,24,26,34,38,41,8,10,13,14,16	4944	27	4971	
2	Un hombre en ropa blanca habla desde un púlpito de madera en un salón con paredes blancas y azules, mientras varias personas sentadas en sillas plásticas lo escuchan.	Se tlakatl ika iztak tlakemitl tlajtoaj ipan se kuauhpulpito.	Sekimej nauatekaj kikajtokej se tlapoualistli ika intlajtolkopa.	16161,16162,16150,16145,16174,16165,16178,16146,16151,16167,16194,10556,9109,11250,12944,16148,8507,1279,14664,1008,12171,4250,9170,12514,16166,7087,6818,414,15010,2142,2020,407,11251,16182,2064,16168,16163,1961,1647,5715	5,16,17,49,0,3,6,18,20,22,29,33,37,1,4,7,8,10,14,15	5438	23	5461	
3	Dos hombres posan para una foto al aire libre; uno lleva una camisa blanca con bordados tradicionales y el otro viste una chaqueta oscura con pañuelo colorido al cuello. Detrás de ellos se observa un espacio público con árboles, personas y vehículos.	Ome tlakamej motlalilijkej ika se foto. Se tlakentok ika kamisa ika xochitlakemitl uan okse ika tliliuik xochitlakemitl.	Ome telpochmej kimokixtiliaj se foto. Motlakentijtokej ika sejse ialtepetlaken.	16167,16145,16161,16150,16146,16174,16181,16194,3807,16193,16182,16183,9766,16162,16165,16160,16168,12286,16152,16178,3525,7786,15930,16179,16190,16189,16187,9028,16157,13981,16176,2344,1406,893,2142,891,3643,16166,810,14395	22,0,37,5,29,31,33,36,38,49,4,7,16,23,48,2,13,14,15,17	5605	48	5653	
4	Un grupo de personas, algunas con vestimenta tradicional, sube a un autobús rojo en un lugar al aire libre. El autobús tiene la matrícula 970-RN-5 y está estacionado cerca de edificios y árboles.	Seki tlakamej motlakentijtokej ika inaltepetlaken motemouiaj ipan se tlauik karro.	Sekimej maseualmej non chantij ik Zongolica tlejkoskej ipan kamion.	16174,16167,2999,16186,10335,16150,16146,4104,1008,16178,8118,16162,7345,11111,1227,6927,9449,16188,13051,16148,13049,6793,4995,1493,1406,16185,10490,940,3126,4541,3188,11292,10345,7934,15797,10556,16194,11920,3487,14341	22,29,18,41,49,5,7,33,48,1,3,9,17,31,37,38,42,43,47,0	4949	31	4980	
5	Tres mujeres con vestimenta tradicional de bordados y faldas estampadas sostienen vasos de plástico mientras interactúan en un espacio público. Al fondo, otras personas con ropa casual observan la escena.	Yexpa siuamej ika inxochitlakentli kipixtokej vasos de plástico.	Eyi siuamej motlapouiaj. Ome motlakentokej ken non chantij Ixhuatlancillo.	16148,16147,16167,16178,16161,16190,16174,16182,16145,16149,16157,16168,16181,16177,16162,16183,16146,3525,16165,8321,16156,15855,16194,2121,5769,2714,7356,5485,5265,7719,477,1451,8535,9418,1350,1511,7326,11057,1979,16160	37,2,3,4,22,33,0,7,16,29,36,38,45,49,8,15,17,18,20,27	6339	25	6364	
6	Un campo de caña de azúcar con postes de madera y alambre de púas en primer plano, bajo un cielo azul con nubes dispersas, rodeado de vegetación tropical.	Se ohuatlajtooktli ika kuauhtlatlamitl uan tlamixtentok.	Se ouamila ika itlatsakuil. Sekitsin tlamixtemik.	16177,16160,16168,16174,16145,16166,16185,16182,16180,16158,16164,16191,16179,16176,16162,16193,16161,16172,16163,16184,16147,16190,16189,10628,16153,16192,16157,10546,16152,4953,13990,3968,16173,12113,5217,8596,12658,16194,11250,10420	15,32,23,29,37,0,18,21,31,35,2,7,8,13,17,27,40,46,47,48	4528	24	4552	
7	Una mano humana sostiene un pequeño lagarto sobre una superficie de concreto, con vegetación verde al fondo y la sombra de una persona proyectada en el suelo.	Se tlakatsin kikuijtok se kuetzpalin.	Ikaj kipixtok ima se palankatsin non nesi omotlajtlachialti.	16189,16179,16146,16191,16160,16171,16173,16181,16178,16183,16177,16169,16193,16167,9028,16192,16176,908,16182,16186,16187,16190,16159,16194,16165,16184,16155,16153,16180,16154,16157,16162,16161,13973,15930,16148,14801,16158,16172,16185	22,31,33,37,38,15,26,36,41,44,46,49,0,1,4,8,9,14,18,32	4670	14	4684	
8	La imagen muestra una flor de color púrpura con pétalos blancos y hojas verdes redondeadas, creciendo entre ramas secas y vegetación en un entorno natural.	Se pitsauaxochitl ika istak xochitl.	Seki Yolitisxochitl uan se ajyoxiuitl.	16188,16159,16158,16191,16170,16169,16154,16179,16173,16155,16156,16171,16180,16190,16163,16189,16185,16164,16186,16194,16184,16192,16183,16176,16168,16146,9289,16157,16152,4187,16165,9137,13682,9132,2823,16177,832,16193,9088,10750	43,14,13,46,25,9,10,18,11,24,26,28,31,34,35,38,45,47,7,41	4240	14	4254	
9	La imagen muestra una rama de árbol con brotes verdes y flores amarillas en forma de racimos. El fondo está desenfocado, con ramas y luz natural.	Se kuauxiuitl ika yankuik xiuitl uan kostik xochimej.	Seki uajxilxochitl tlen yikin kueponij.	16188,16153,16189,16159,16191,16162,16158,16190,3304,16021,16163,16194,16179,16160,16183,16169,16152,16180,16156,9704,13326,16186,16178,13809,6341,4187,16172,13159,16164,5120,4210,13682,16170,1387,1057,1512,6163,16168,11488,420	8,43,18,7,13,14,17,27,33,38,41,49,0,4,11,31,35,37,45,46	4326	23	4349	
10	Una flor de color rosa pálido con pétalos suaves y bordes ligeramente ondulados, en un entorno con follaje verde desenfocado.	Se xochitl chichiliztaletik.	Se gladiolajxochitl non achtsin youakik.	16169,16159,16188,16153,16170,16191,10556,16156,16163,16178,16173,16179,16172,16146,16160,16171,16158,16176,16180,16189,16152,16177,12113,9132,16183,10300,16186,5485,16162,4277,2142,9644,15332,16185,13682,16182,16161,16187,12237,16165	14,8,24,43,46,18,25,31,33,7,11,13,15,26,27,28,35,37,38,1	4227	10	4237	
11	Una flor naranja con pétalos densos y hojas verdes en el fondo, junto a una pared de textura rugosa.	Se kostik senpoalxochitl inauak se tepankali.	Se kualtsin senpoalxochitl non melajka xochitl.	16188,16191,16159,16153,16169,16170,16158,16179,16155,16177,16183,16193,16168,16194,16181,16192,16187,16190,12237,16175,4187,16178,12240,16154,16165,2823,2506,10747,16186,16180,4887,4224,15349,16184,16166,16171,832,13639,16146,5120	14,8,43,46,48,49,13,25,38,42,47,9,10,23,24,32,33,36,41,4	4110	17	4127	
12	Una carretera asfaltada con línea amarilla se extiende entre vegetación densa bajo una densa niebla. No se observan personas ni elementos culturalmente identificables.	Se ojtli ika xochitl uan tlamixtentok.	Se foto kanin nextok ojtli, tetlala inakastlan uan semi tlamixtentok ken yetoskia totoka tiuaij ipan se karro.	16192,16182,16185,16190,16164,16194,16184,16183,16166,16177,16159,16173,5031,15919,16179,16189,16153,16168,8523,16158,16152,14649,16193,4436,1562,16160,16178,16148,16151,9746,7497,16150,16191,8214,16180,11458,16170,16161,16176,16171	37,45,47,19,21,23,32,38,39,40,3,8,13,14,25,31,33,44,49,0	4342	17	4359	
