id	prediction	reference	chrfpp_sentence
0	Chan míis ku weenel yook'ol u ch'iich'il u we'enel.	Juntúul miis ku weenel	37.6322
1	Le lela' junp'éel ju'un tu'ux ku ye'esik biix u ts'íibta'al le t'aano'obo'.	Junp'éel áanalte' ich maaya t'aan.	22.3903
2	Óoxp'éel máako'ob táan u xooko'ob yóok'ol junp'éel laptop.	Oxtúul máak tu táan junp'éel computadora.	27.0787
3	Junp'éel éek' k'at ti' yaan yook'ol che'.	Junp'éel boox nu'ukul uti'al u uk'ul café.	23.3363
4	Ya'ab k'áax ku jóok'ol u buuts'o'ob.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.	13.2416
5	Junp'éel plástico botella yaan u boox u t'aabil.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.	17.9241
6	Juntúul máak wa'akbal tu táan junp'éel sáasil.	Le lela' junp'éel sasili' ichil najilxook.	23.0200
7	Junkúul sakchak lool yaan tu tséel junp'éel pak' tu'ux yaan tikin su'uk.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.	21.3804
8	Juntúul boox am yaan yóok'ol junp'éel sak pak'.	Le amo' ti yáan lu'ume.	10.4363
9	Junp'éel k'ab ku machik junp'éel sakchak lool, tu paachile' yaan xa'ano'ob yéetel azul le ka'analo'.	Le lela' jump'eel sakchak' lol.	26.6277
10	Junkúul xa'an jach ka'anal u wíib, tu tséelile' yaan junp'éel poste.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.	14.7895
11	Junp'éel sak pak' yaan u bonil ya'ax yéetel boox, tu paachile' ya'akach su'uk, táanile' yaan jump'éel bej.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.	34.4562
12	Junkúul sakchak lool yaan tu tséel le k'i'ixil kooto'.	Junkúul k'áax yaan u loolo'ob de sakchak.	36.0630
13	Junp'éel k'an naj yéetel rejas tu jool najo', tu tséelile' yaan junp'éel chak auto.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.	42.9668
