id	prediction	reference	chrfpp_sentence
0	Chan míis ku weenel yook'ol u nook'il u we'enel.	Juntúul miis ku weenel	38.5084
1	Le lela' junp'éel ju'un tu'ux ku ye'esik biix u ts'íibta'al le t'aano'obo'.	Junp'éel áanalte' ich maaya t'aan.	22.3903
2	Óoxp'éel máako'ob táan u xooko'ob yóok'ol jump'éel laptop, tu paachile' yáan jump'éel proyector.	Oxtúul máak tu táan junp'éel computadora.	23.6172
3	Junp'éel éek' k'at yaan yook'ol che'.	Junp'éel boox nu'ukul uti'al u uk'ul café.	22.3636
4	Ya'ab k'áax ku jóok'ol u buuts'il.	Le lela' tu'ux ku jo'saaj kaab etel  ya'ab buts' etel su'uk kíimen.	13.0748
5	Junp'éel botella de plástico yaan u t'aab azul.	Le botellao' ja'o tÍ yáan taníil le joolnajo'.	17.0367
6	Juntúul máak wa'akbal tu táan junp'éel sáasil.	Le lela' junp'éel sasili' ichil najilxook.	23.0200
7	Junkúul sakchak lool yaan tu tséel junp'éel koot, tu paachile' yaan junp'éel xa'an.	Le xa'ant ti yaan aktáan le bardao'. Tak xan yano' junp'éel u paak'al ku loolankií.	23.7230
8	Juntúul boox am yaan yóok'ol junp'éel sak pak'.	Le amo' ti yáan lu'ume.	10.4363
9	Juntúul máak ku machik junp'éel lool sakchak.	Le lela' jump'eel sakchak' lol.	26.0418
10	Ka'akúul xa'an jach ka'analo'ob tu tséel junp'éel poste.	Le lela' nuk'uch pak'alob ya'axob ts'o'ke núuktakoob.	16.2830
11	Junp'éel sak pak' yaan u bonil ya'ax yéetel boox, tu paachile' ya'akach su'uk, táanile' yaan jump'éel chak bej.	Junp'éel pak' yaan junp'éel boonil jach ta uts, beyxan yaan tikin su'uk tu pach yaan xan u yoochel juntúul máak.	34.1394
12	Junkúul sakchak lool yaan tu tséel junp'éel k'i'ixil k'óot.	Junkúul k'áax yaan u loolo'ob de sakchak.	34.9477
13	Junp'éel k'an naj yéetel rejas tu joolnajo', tu tséelile' yaan junp'éel chak auto.	Junp'éel k'an naj yaan xan ka'ákúul che' táanil beyxan junp'éel chak' kisbuuts'.	43.0770
14	Junkúul ya'ax ki'i yaan u loolo'ob tu k'ab, tu paachile' ya'abach che'ob.	Junkúul ché' yaan u lool k'an beyxan jach taj ka'anal.	32.9666
15	Junkúul put yaan u yich ya'ax, tu tséelile' yaan ya'akach che'ob.	Junkúul puut jach ya'ab u yich beyxan yaan tu paachil ya'abach u le' ja'as.	34.1156
16	Junkúul lool ch'ojchak yaan ichil ya'ax k'áax.	Junkúul éek' puk'e'en lool yaan xan tu paach ya'abach ya'ax k'áax jaantaj.	30.0587
17	Juntúul sak kaax ku janal yook'ol lu'um.	Juntúul sak kaax  táan u tóochik le lu'umo'.	43.8185
18	Junp'éel úuchben che' kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuchil kúuch	Junp'éel k'áanche' yaan tu tséel le che'o' beyxan yáan junp'éel pak'  chukwa' tu paach.	9.0497
19	Junkúul nukuch che' yaan u le' ya'ax, tu paachile' yaan xa'ano'ob yéetel ya'abach k'áax.	Junkúul ya' jach ya'ab u le' beyxan jach ya'ab sínik yaan iknal.	31.2291
20	Junp'éel naj u yóok'ole' de xa'an, tu tséelile' junkúul che' yéetel jump'éel lona azul.	Junp'éel u naj k'áax beyxan yaan tu táanil junkúl che'.	29.3054
21	Ch'úupal ku wa'atal tu tséel junp'éel k'áax.	Nojoch máak yéetel u huipil de flores jejeláas bonilo'ob, wa'akbal tu tsel U pak'alo'ob.	13.1639
